"","GeneID","Module"
"372","CDO30_RS02075","turquoise"
"373","CDO30_RS30620","blue"
"374","CDO30_RS05390","grey"
"375","CDO30_RS04095","brown"
"376","CDO30_RS05970","blue"
"377","CDO30_RS11625","brown"
"378","CDO30_RS28045","blue"
"379","CDO30_RS17120","turquoise"
"380","CDO30_RS05955","grey"
"381","CDO30_RS05565","brown"
"382","CDO30_RS11945","blue"
"383","CDO30_RS16470","yellow"
"384","CDO30_RS25180","red"
"385","CDO30_RS02975","turquoise"
"386","CDO30_RS14565","brown"
"387","CDO30_RS08130","turquoise"
"388","CDO30_RS14455","blue"
"389","CDO30_RS01190","turquoise"
"390","CDO30_RS19900","brown"
"391","CDO30_RS16910","grey"
"392","CDO30_RS15450","blue"
"393","CDO30_RS14815","blue"
"394","CDO30_RS19515","yellow"
"395","CDO30_RS08270","blue"
"396","CDO30_RS19260","green"
"397","CDO30_RS12045","turquoise"
"398","CDO30_RS08750","grey"
"399","CDO30_RS17890","yellow"
"400","CDO30_RS06765","turquoise"
"401","CDO30_RS12275","turquoise"
"402","CDO30_RS08465","turquoise"
"403","CDO30_RS19785","yellow"
"404","CDO30_RS02665","green"
"405","CDO30_RS31105","grey"
"406","CDO30_RS31620","turquoise"
"407","CDO30_RS10040","blue"
"408","CDO30_RS02215","turquoise"
"409","CDO30_RS29880","brown"
"410","CDO30_RS03545","red"
"411","CDO30_RS15025","red"
"412","CDO30_RS07010","grey"
"413","CDO30_RS28450","grey"
"414","CDO30_RS10880","brown"
"415","CDO30_RS04450","grey"
"416","CDO30_RS02815","blue"
"417","CDO30_RS00740","blue"
"418","CDO30_RS29280","blue"
"419","CDO30_RS21215","red"
"420","CDO30_RS06125","turquoise"
"421","CDO30_RS14325","black"
"422","CDO30_RS31650","red"
"423","CDO30_RS16025","blue"
"424","CDO30_RS01680","grey"
"425","CDO30_RS18210","yellow"
"426","CDO30_RS15140","red"
"427","CDO30_RS27185","grey"
"428","CDO30_RS00190","turquoise"
"429","CDO30_RS09840","turquoise"
"430","CDO30_RS10740","turquoise"
"431","CDO30_RS16105","grey"
"432","CDO30_RS06060","brown"
"433","CDO30_RS15035","blue"
"434","CDO30_RS03060","turquoise"
"435","CDO30_RS06920","brown"
"436","CDO30_RS14650","turquoise"
"437","CDO30_RS25695","turquoise"
"438","CDO30_RS22750","grey"
"439","CDO30_RS02115","turquoise"
"440","CDO30_RS05080","turquoise"
"441","CDO30_RS18230","yellow"
"442","CDO30_RS09015","brown"
"443","CDO30_RS14665","turquoise"
"444","CDO30_RS06565","blue"
"445","CDO30_RS02730","turquoise"
"446","CDO30_RS03945","turquoise"
"447","CDO30_RS06860","turquoise"
"448","CDO30_RS09850","turquoise"
"449","CDO30_RS03760","turquoise"
"450","CDO30_RS11425","turquoise"
"451","CDO30_RS12835","black"
"452","CDO30_RS26080","black"
"453","CDO30_RS06935","turquoise"
"454","CDO30_RS30005","blue"
"455","CDO30_RS31615","blue"
"456","CDO30_RS03745","turquoise"
"457","CDO30_RS27875","blue"
"458","CDO30_RS05935","turquoise"
"459","CDO30_RS10590","turquoise"
"460","CDO30_RS11130","turquoise"
"461","CDO30_RS16385","turquoise"
"462","CDO30_RS03285","turquoise"
"463","CDO30_RS11160","brown"
"464","CDO30_RS02315","turquoise"
"465","CDO30_RS11995","turquoise"
"466","CDO30_RS00645","grey"
"467","CDO30_RS11045","grey"
"468","CDO30_RS14295","brown"
"469","CDO30_RS15905","black"
"470","CDO30_RS35100","blue"
"471","CDO30_RS07100","turquoise"
"472","CDO30_RS13315","brown"
"473","CDO30_RS01535","blue"
"474","CDO30_RS01030","turquoise"
"475","CDO30_RS15505","blue"
"476","CDO30_RS11090","brown"
"477","CDO30_RS27125","red"
"478","CDO30_RS10080","brown"
"479","CDO30_RS11440","turquoise"
"480","CDO30_RS26415","blue"
"481","CDO30_RS03695","turquoise"
"482","CDO30_RS27180","turquoise"
"483","CDO30_RS03455","green"
"484","CDO30_RS15800","red"
"485","CDO30_RS15825","blue"
"486","CDO30_RS20185","turquoise"
"487","CDO30_RS25415","grey"
"488","CDO30_RS16265","grey"
"489","CDO30_RS14635","brown"
"490","CDO30_RS17160","turquoise"
"491","CDO30_RS00335","turquoise"
"492","CDO30_RS24715","grey"
"493","CDO30_RS31665","blue"
"494","CDO30_RS11395","blue"
"495","CDO30_RS16070","turquoise"
"496","CDO30_RS08180","brown"
"497","CDO30_RS13195","turquoise"
"498","CDO30_RS03960","brown"
"499","CDO30_RS31005","turquoise"
"500","CDO30_RS14345","turquoise"
"501","CDO30_RS08260","black"
"502","CDO30_RS01355","turquoise"
"503","CDO30_RS00240","turquoise"
"504","CDO30_RS17655","turquoise"
"505","CDO30_RS34970","yellow"
"506","CDO30_RS18795","turquoise"
"507","CDO30_RS11480","turquoise"
"508","CDO30_RS07070","brown"
"509","CDO30_RS05600","blue"
"510","CDO30_RS02685","blue"
"511","CDO30_RS21220","grey"
"512","CDO30_RS27545","brown"
"513","CDO30_RS07185","turquoise"
"514","CDO30_RS00110","blue"
"515","CDO30_RS16360","turquoise"
"516","CDO30_RS16805","grey"
"517","CDO30_RS01185","turquoise"
"518","CDO30_RS01610","grey"
"519","CDO30_RS02715","grey"
"520","CDO30_RS16815","grey"
"521","CDO30_RS35350","blue"
"522","CDO30_RS04735","grey"
"523","CDO30_RS13705","blue"
"524","CDO30_RS02080","turquoise"
"525","CDO30_RS20510","turquoise"
"526","CDO30_RS03710","grey"
"527","CDO30_RS03780","green"
"528","CDO30_RS02755","turquoise"
"529","CDO30_RS25865","turquoise"
"530","CDO30_RS17690","brown"
"531","CDO30_RS05910","blue"
"532","CDO30_RS00080","turquoise"
"533","CDO30_RS08600","blue"
"534","CDO30_RS31160","green"
"535","CDO30_RS06085","turquoise"
"536","CDO30_RS11215","blue"
"537","CDO30_RS11525","brown"
"538","CDO30_RS08620","turquoise"
"539","CDO30_RS10450","turquoise"
"540","CDO30_RS05290","blue"
"541","CDO30_RS05850","turquoise"
"542","CDO30_RS25980","grey"
"543","CDO30_RS02720","turquoise"
"544","CDO30_RS30095","blue"
"545","CDO30_RS14575","turquoise"
"546","CDO30_RS04090","brown"
"547","CDO30_RS17745","turquoise"
"548","CDO30_RS25700","grey"
"549","CDO30_RS29865","blue"
"550","CDO30_RS34385","turquoise"
"551","CDO30_RS19775","yellow"
"552","CDO30_RS07000","green"
