"","GeneID","Module"
"455","MtrunA17_Chr5g0412421","blue"
"456","MtrunA17_Chr5g0413451","turquoise"
"457","MtrunA17_Chr2g0310611","turquoise"
"458","MtrunA17_Chr7g0222431","green"
"459","MtrunA17_Chr7g0255181","blue"
"460","MtrunA17_Chr3g0113171","greenyellow"
"461","MtrunA17_Chr4g0060101","blue"
"462","MtrunA17_Chr8g0344131","blue"
"463","MtrunA17_Chr8g0388671","purple"
"464","MtrunA17_Chr3g0134711","turquoise"
"465","MtrunA17_Chr4g0056191","blue"
"466","MtrunA17_Chr8g0334621","turquoise"
"467","MtrunA17_Chr1g0168121","blue"
"468","MtrunA17_Chr5g0442081","cyan"
"469","MtrunA17_Chr2g0287831","blue"
"470","MtrunA17_Chr8g0360411","blue"
"471","MtrunA17_Chr2g0295001","purple"
"472","MtrunA17_Chr8g0356311","turquoise"
"473","MtrunA17_Chr7g0272591","magenta"
"474","MtrunA17_Chr3g0139541","blue"
"475","MtrunA17_Chr5g0436781","blue"
"476","MtrunA17_Chr3g0088861","green"
"477","MtrunA17_Chr2g0299161","blue"
"478","MtrunA17_Chr8g0373481","turquoise"
"479","MtrunA17_Chr1g0162861","turquoise"
"480","MtrunA17_Chr1g0195691","pink"
"481","MtrunA17_Chr4g0013611","turquoise"
"482","MtrunA17_Chr1g0200001","turquoise"
"483","MtrunA17_Chr4g0035051","brown"
"484","MtrunA17_Chr4g0042801","greenyellow"
"485","MtrunA17_Chr3g0094011","green"
"486","MtrunA17_Chr8g0385221","blue"
"487","MtrunA17_Chr3g0132611","turquoise"
"488","MtrunA17_Chr7g0251681","brown"
"489","MtrunA17_Chr5g0426501","brown"
"490","MtrunA17_Chr7g0250541","turquoise"
"491","MtrunA17_Chr7g0260401","pink"
"492","MtrunA17_Chr7g0240411","brown"
"493","MtrunA17_Chr7g0257651","turquoise"
"494","MtrunA17_Chr4g0037381","turquoise"
"495","MtrunA17_Chr5g0406041","turquoise"
"496","MtrunA17_Chr4g0070231","turquoise"
"497","MtrunA17_Chr1g0161531","turquoise"
"498","MtrunA17_Chr8g0391011","tan"
"499","MtrunA17_Chr2g0306791","blue"
"500","MtrunA17_Chr3g0118281","turquoise"
"501","MtrunA17_Chr3g0088451","turquoise"
"502","MtrunA17_Chr2g0328511","grey"
"503","MtrunA17_Chr8g0376161","turquoise"
"504","MtrunA17_Chr6g0487421","brown"
"505","MtrunA17_Chr8g0388761","tan"
"506","MtrunA17_Chr7g0252981","greenyellow"
"507","MtrunA17_Chr7g0273951","brown"
"508","MtrunA17_Chr1g0146491","tan"
"509","MtrunA17_Chr1g0211291","pink"
"510","MtrunA17_Chr2g0283381","blue"
"511","MtrunA17_Chr5g0436221","brown"
"512","MtrunA17_Chr4g0019561","turquoise"
"513","MtrunA17_Chr4g0033201","blue"
"514","MtrunA17_Chr1g0190131","blue"
"515","MtrunA17_Chr8g0343021","yellow"
"516","MtrunA17_Chr2g0310421","blue"
"517","MtrunA17_Chr7g0221451","brown"
"518","MtrunA17_Chr2g0302351","blue"
"519","MtrunA17_Chr1g0209971","turquoise"
"520","MtrunA17_Chr1g0154961","turquoise"
"521","MtrunA17_Chr2g0333281","brown"
"522","MtrunA17_Chr4g0057561","blue"
"523","MtrunA17_Chr4g0005681","blue"
"524","MtrunA17_Chr5g0398901","purple"
"525","MtrunA17_Chr4g0013401","greenyellow"
"526","MtrunA17_Chr1g0206061","blue"
"527","MtrunA17_Chr8g0336451","turquoise"
"528","MtrunA17_Chr4g0069401","turquoise"
"529","MtrunA17_Chr7g0246711","blue"
"530","MtrunA17_Chr3g0083781","black"
"531","MtrunA17_Chr3g0102981","blue"
"532","MtrunA17_Chr7g0267481","brown"
"533","MtrunA17_Chr4g0036891","green"
"534","MtrunA17_Chr2g0328941","blue"
"535","MtrunA17_Chr5g0400061","turquoise"
"536","MtrunA17_Chr7g0268871","turquoise"
"537","MtrunA17_Chr4g0068991","turquoise"
"538","MtrunA17_Chr4g0047751","turquoise"
"539","MtrunA17_Chr7g0220961","turquoise"
"540","MtrunA17_Chr1g0166241","blue"
"541","MtrunA17_Chr7g0245031","blue"
"542","MtrunA17_Chr8g0385411","turquoise"
"543","MtrunA17_Chr6g0487921","turquoise"
"544","MtrunA17_Chr4g0069201","blue"
"545","MtrunA17_Chr5g0393901","turquoise"
"546","MtrunA17_Chr4g0042191","blue"
"547","MtrunA17_Chr5g0431171","green"
"548","MtrunA17_Chr1g0197731","turquoise"
"549","MtrunA17_Chr4g0029681","blue"
"550","MtrunA17_Chr2g0318931","red"
"551","MtrunA17_Chr8g0389561","blue"
"552","MtrunA17_Chr4g0018061","green"
"553","MtrunA17_Chr8g0358571","turquoise"
"554","MtrunA17_Chr5g0409341","brown"
"555","MtrunA17_Chr2g0317811","turquoise"
"556","MtrunA17_Chr7g0214741","brown"
"557","MtrunA17_Chr5g0440831","turquoise"
"558","MtrunA17_Chr2g0309671","turquoise"
"559","MtrunA17_Chr2g0303771","turquoise"
"560","MtrunA17_Chr6g0452941","green"
"561","MtrunA17_Chr4g0035561","turquoise"
"562","MtrunA17_Chr7g0253191","blue"
"563","MtrunA17_Chr5g0405871","brown"
"564","MtrunA17_Chr8g0385811","turquoise"
"565","MtrunA17_Chr2g0323101","turquoise"
"566","MtrunA17_Chr8g0380591","turquoise"
"567","MtrunA17_Chr7g0257461","turquoise"
"568","MtrunA17_Chr2g0328001","brown"
"569","MtrunA17_Chr4g0023401","blue"
"570","MtrunA17_Chr8g0378221","blue"
"571","MtrunA17_Chr6g0462551","blue"
"572","MtrunA17_Chr2g0284091","turquoise"
"573","MtrunA17_Chr4g0054161","brown"
"574","MtrunA17_Chr8g0392701","turquoise"
"575","MtrunA17_Chr1g0150701","turquoise"
"576","MtrunA17_Chr4g0040471","turquoise"
"577","MtrunA17_Chr2g0295021","turquoise"
"578","MtrunA17_Chr2g0322641","brown"
"579","MtrunA17_Chr4g0031081","blue"
"580","MtrunA17_Chr6g0483381","turquoise"
"581","MtrunA17_Chr4g0002381","brown"
"582","MtrunA17_Chr2g0291461","purple"
"583","MtrunA17_Chr1g0191991","brown"
"584","MtrunA17_Chr5g0405501","blue"
"585","MtrunA17_Chr1g0206601","tan"
"586","MtrunA17_Chr4g0046271","turquoise"
"587","MtrunA17_Chr4g0066001","blue"
"588","MtrunA17_Chr8g0351971","turquoise"
