"","MEblue","MEmidnightblue","MEtan","MEcyan","MElightcyan","MEmagenta","MEbrown","MEgreenyellow","MEgreen","MEyellow","MEblack","MEred","MEsalmon","MEpurple","MEpink","MEturquoise","MEgrey"
"SRR18707749",0.181213434196579,0.273910951350214,0.064396502696779,0.0805651238871972,0.200222720140511,0.0189756746610496,-0.0954789454790711,-0.0567578155468227,-0.0113771130836069,0.040756650866388,-0.0284725746667284,-0.0942593302036113,-0.126060196211719,0.0407005967605145,0.27025597473937,0.0340071700061971,0.0446499579372681
"SRR18707751",-0.223462133021281,-0.114393750081912,0.0849141566460343,0.0401189273223895,0.0688476878053774,-0.133182371418737,-0.0495179214938954,0.137045116822111,0.200408791754094,-0.00604550541645575,-0.0412271557943971,-0.0871914222352199,-0.118561356393248,-0.145867063667879,-0.365937163899235,-0.281573377527389,0.135282614935278
"SRR18707752",-0.216264680561699,-0.233048525128049,-0.299969843847564,0.0761804720297611,0.0687114770501928,0.0407424012224422,0.122438955193185,0.160639144062786,0.0159746904061817,-0.0705284821694529,-0.00665206940919412,-0.061127569023313,-0.138101218351997,0.598225476931195,-0.156168845133299,0.049660585452518,0.105375739796371
"SRR18707753",0.212462282166618,0.110429250165588,0.120798513162352,0.0646515587648149,-0.0833952469550158,-0.159184311691398,-0.279519881837075,-0.295350007613548,-0.333414928950654,-0.284250470216816,-0.0383158482592401,-0.0746961317088379,-0.125012278692733,-0.056909855295314,0.0172534571202748,-0.0118388321694784,0.211590771556893
"SRR18707756",-0.0628696687243692,-0.00723447707690948,0.0815251182019042,0.0523125152542392,-0.167387296938273,-0.22305422458169,-0.145525853452555,-0.0529445228314737,0.118782837258796,0.00927457992027024,-0.0426073519940612,-0.0710813939246462,-0.0929361245908956,-0.101480436046399,-0.31737704395291,-0.295886256560704,0.161340472292253
"SRR18707757",0.039448922131435,0.00541630576987053,-0.0132282081791979,0.0600909311428188,0.127954158632299,0.120004395184186,0.0105912313242387,0.0249038895110652,-0.0889971262581809,-0.112126128133091,-0.0423233235954473,-0.0821212766281371,-0.0925326620924892,-0.0360692753431722,0.0450026201091389,0.103073713380846,-0.0102369745148182
"SRR18707758",-0.0851958540788685,0.0852187815646887,0.24872212262638,0.0400334004595598,-0.117466720489017,-0.211239948677163,-0.190765718316324,-0.228086900329267,0.260726948005985,-0.107760988044127,-0.0531221066677271,-0.0996104114428146,-0.112989683274244,-0.183619497930342,-0.319864390249488,-0.313930866151716,-0.272742603308528
"SRR18707763",-0.0791359574311706,0.0194242121388791,0.0442119025334683,0.0852058458368122,0.0133239681926483,0.302436685719452,0.0375299758387355,-0.0681097628110866,0.166500187389418,0.178932718317201,-0.0450880448791506,-0.0218272331026113,0.116132884576644,-0.0753509609810337,-0.0183204806339312,-0.121261896616851,-0.0261314279785111
"SRR18707767",0.0216426190156122,0.203208074599926,0.0426434203397752,0.0848062541711782,0.0755177834938798,0.154487590184542,-0.00280469002194171,-0.0314494073936916,0.0454650692099166,0.104679750119263,-0.0615267875089946,-0.150463182436039,0.199142052363792,-0.0522419671205443,0.179291495282586,-0.0541513207608677,0.162203677949218
"SRR18707769",0.298205676625516,0.14389189795818,0.103492812371852,0.0747017644032935,0.131643241175388,0.0423117151767739,-0.0958714012199481,-0.0977801584298921,-0.306687577737822,-0.220165734228509,-0.0619592448925839,-0.127169828220993,-0.164221620660653,-0.00269825120309567,0.144056315212,0.233677389816014,0.0799495045253679
"SRR18707770",0.219544768817811,0.252762179250176,0.0684520611378685,-0.403348923309932,0.0950513841365093,0.0246835583414164,-0.129980134075765,-0.130951310598576,-0.0358845394862716,0.0522409795975187,-0.0844010086954098,0.263049423909502,0.191424223632816,-0.000696795900446017,0.32650577086765,-0.0265775211322422,-0.104304060733899
"SRR18707772",0.0769837789718655,0.100269691342775,0.0728688929122305,0.104864737516862,0.177564874663581,0.325410321601851,0.0518133816599869,0.0980938399905896,-0.0351841009469179,0.0436491301273521,-0.0343901003952831,-0.0221972283591925,0.129146690467335,-0.0744796327572705,-0.00436809919101247,0.140633140733155,-0.0439039290982106
"SRR18707773",0.124414760776102,0.00631088644412067,0.0686918117940106,0.0921883821051569,0.185000316385236,0.141591832417033,-0.0134558067514778,0.152962798354168,-0.0690061886745756,-0.0994239215662711,-0.0607913762344604,-0.120570555045802,0.206017673813293,-0.050019076353076,0.00370168647783254,0.149488886671319,0.0666019578471336
"SRR18707774",-0.0564884467027524,0.0284978375838532,0.129653690033878,0.0541462520771687,-0.120238397224815,0.0413890877420037,-0.163621211068985,-0.118708684572763,0.0405336144222342,-0.137152881299217,-0.0629087088556895,-0.0935162209772033,-0.136352303040489,-0.0977214285109449,-0.347241491652573,-0.197651328360116,-0.043798733675749
"SRR18707777",-0.131466753982403,0.0814231657319733,-0.00957758733523592,0.0735458078616054,0.145856980493808,0.152756417449197,0.0379289744033209,-0.0570380328158547,0.211581710738278,0.294151585388864,-0.0425626710402005,-0.0482060406659311,0.116226624706856,-0.0509292067923382,-0.0279115042318683,-0.201767329432037,0.0321355360032821
"SRR18707778",-0.00183832899301913,-0.158224482624738,0.0121988468835732,0.0643048495473575,0.0989670288949369,-0.11982955497448,0.0531529970124471,0.0594296493665788,0.0586590629150718,-0.0260961200788543,-0.0464855164565936,-0.0890702090947325,-0.157941761150997,-0.0513334390907263,-0.0636168168800183,0.0718736391996931,0.197681185004821
