"","GeneID","Module"
"515","CDO30_RS16360","yellow"
"516","CDO30_RS16805","green"
"517","CDO30_RS01185","yellow"
"518","CDO30_RS01610","grey"
"519","CDO30_RS02715","grey"
"520","CDO30_RS16815","blue"
"521","CDO30_RS35350","pink"
"522","CDO30_RS04735","turquoise"
"523","CDO30_RS13705","grey"
"524","CDO30_RS02080","yellow"
"525","CDO30_RS20510","lightgreen"
"526","CDO30_RS03710","turquoise"
"527","CDO30_RS03780","blue"
"528","CDO30_RS02755","yellow"
"529","CDO30_RS25865","yellow"
"530","CDO30_RS17690","black"
"531","CDO30_RS05910","magenta"
"532","CDO30_RS00080","pink"
"533","CDO30_RS08600","pink"
"534","CDO30_RS31160","grey"
"535","CDO30_RS06085","yellow"
"536","CDO30_RS11215","blue"
"537","CDO30_RS11525","yellow"
"538","CDO30_RS08620","green"
"539","CDO30_RS10450","yellow"
"540","CDO30_RS05290","blue"
"541","CDO30_RS05850","yellow"
"542","CDO30_RS25980","black"
"543","CDO30_RS02720","yellow"
"544","CDO30_RS30095","blue"
"545","CDO30_RS14575","yellow"
"546","CDO30_RS04090","black"
"547","CDO30_RS17745","yellow"
"548","CDO30_RS25700","turquoise"
"549","CDO30_RS29865","brown"
"550","CDO30_RS34385","blue"
"551","CDO30_RS19775","lightgreen"
"552","CDO30_RS07000","blue"
"553","CDO30_RS06855","yellow"
"554","CDO30_RS26320","black"
"555","CDO30_RS01055","yellow"
"556","CDO30_RS02495","black"
"557","CDO30_RS24375","black"
"558","CDO30_RS02555","black"
"559","CDO30_RS02830","turquoise"
"560","CDO30_RS02690","black"
"561","CDO30_RS16075","turquoise"
"562","CDO30_RS02450","black"
"563","CDO30_RS18800","black"
"564","CDO30_RS08755","turquoise"
"565","CDO30_RS02435","yellow"
"566","CDO30_RS15515","black"
"567","CDO30_RS04000","yellow"
"568","CDO30_RS00520","yellow"
"569","CDO30_RS07880","yellow"
"570","CDO30_RS12775","pink"
"571","CDO30_RS11680","yellow"
"572","CDO30_RS15740","pink"
"573","CDO30_RS03600","blue"
"574","CDO30_RS05040","grey"
"575","CDO30_RS16660","yellow"
"576","CDO30_RS16100","yellow"
"577","CDO30_RS08745","blue"
"578","CDO30_RS14340","green"
"579","CDO30_RS03885","yellow"
"580","CDO30_RS07025","purple"
"581","CDO30_RS13710","turquoise"
"582","CDO30_RS13205","salmon"
"583","CDO30_RS32920","black"
"584","CDO30_RS05385","yellow"
"585","CDO30_RS06795","turquoise"
"586","CDO30_RS14150","black"
"587","CDO30_RS32555","black"
"588","CDO30_RS32895","brown"
"589","CDO30_RS10575","yellow"
"590","CDO30_RS19020","blue"
"591","CDO30_RS32995","blue"
"592","CDO30_RS07935","yellow"
"593","CDO30_RS18220","lightgreen"
"594","CDO30_RS10105","black"
"595","CDO30_RS11180","yellow"
"596","CDO30_RS08490","yellow"
"597","CDO30_RS00525","yellow"
"598","CDO30_RS14805","yellow"
"599","CDO30_RS15380","blue"
"600","CDO30_RS03300","yellow"
"601","CDO30_RS02490","grey"
"602","CDO30_RS18145","lightgreen"
"603","CDO30_RS01835","yellow"
"604","CDO30_RS11785","blue"
"605","CDO30_RS24725","grey"
"606","CDO30_RS01340","yellow"
"607","CDO30_RS29210","grey"
"608","CDO30_RS30765","turquoise"
"609","CDO30_RS02205","yellow"
"610","CDO30_RS10915","blue"
"611","CDO30_RS13435","lightcyan"
"612","CDO30_RS18060","turquoise"
"613","CDO30_RS16575","pink"
"614","CDO30_RS26605","black"
"615","CDO30_RS08210","yellow"
"616","CDO30_RS13405","yellow"
"617","CDO30_RS17100","yellow"
"618","CDO30_RS11055","yellow"
"619","CDO30_RS31885","pink"
"620","CDO30_RS29220","black"
"621","CDO30_RS06410","yellow"
"622","CDO30_RS13830","brown"
"623","CDO30_RS01955","pink"
"624","CDO30_RS14560","yellow"
"625","CDO30_RS17305","pink"
"626","CDO30_RS05945","yellow"
"627","CDO30_RS01125","pink"
"628","CDO30_RS04430","black"
"629","CDO30_RS17295","yellow"
"630","CDO30_RS01440","yellow"
"631","CDO30_RS09570","black"
"632","CDO30_RS32760","grey"
"633","CDO30_RS26955","grey"
